from,to,amount
DO,AT,735069
DO,BE,1305137
DO,BM,141958
DO,BR,175994
DO,CA,484117
DO,CH,1132763
DO,CN,2839535
DO,CO,1315987
DO,CR,807621
DO,DE,2840327
DO,EC,275064
DO,ES,8669193
DO,FR,4466117
DO,GT,417305
DO,HN,279816
DO,HT,56573486
DO,IN,167029
DO,IT,2982417
DO,JM,106374
DO,JP,774638
DO,KR,178494
DO,LB,837963
DO,LU,100561
DO,MX,479846
DO,NC,108775
DO,NG,102847
DO,NI,105991
DO,NL,112397
DO,PA,324229
DO,PE,510369
DO,PL,108563
DO,SE,406358
DO,SV,131370
DO,US,3748412
DO,VE,801736
DZ,BE,289173
DZ,CN,388268
DZ,DE,630869
DZ,DJ,116637
DZ,ES,137281
DZ,FR,1428133
DZ,GB,134716
DZ,ID,537453
DZ,IL,3134010
DZ,IN,453454
DZ,IQ,632992
DZ,IT,460597
DZ,JO,2051273
DZ,KM,188289
DZ,LB,2082708
DZ,MA,222020
DZ,MY,155332
DZ,NG,1127371
DZ,PH,429861
DZ,PK,153458
DZ,QA,1058647
DZ,RU,116001
DZ,SA,771350
DZ,SE,132801
DZ,SY,223456
DZ,TH,372129
DZ,TN,166994
DZ,US,459091
DZ,YE,745929
EC,AR,512325
EC,AT,439719
EC,AU,216110
EC,BE,2405925
EC,BM,130129
EC,BO,294490
EC,BR,518467
EC,CA,335196
EC,CH,1095246
EC,CL,269677
EC,CN,2424548
EC,CO,36397106
EC,CR,513701
EC,CZ,310959
EC,DE,2593395
EC,DK,134019
EC,DO,198337
EC,ES,9283975
EC,FR,4219137
EC,GB,263728
EC,GT,384530
EC,HN,303708
EC,HU,244324
EC,IL,199420
EC,IN,134595
EC,IT,1736385
EC,JP,477455
EC,KR,278102
EC,LB,540549
EC,LU,103208
EC,MX,657242
EC,NG,125686
EC,NI,101528
EC,NL,170072
EC,NO,103401
EC,PA,470418
EC,PE,3613715
EC,PT,121511
EC,RU,156951
EC,SE,406358
EC,SV,190879
EC,US,8161211
EC,VE,528176
EE,AM,124706
EE,AZ,122523
EE,BE,204349
EE,BY,877930
EE,CN,110556
EE,DE,501139
EE,ES,127049
EE,FI,559970
EE,FR,245700
EE,GE,364008
EE,KG,192463
EE,LT,388480
EE,LV,1200500
EE,MD,158213
EE,RU,10427889
EE,SE,325245
EE,TJ,146700
EE,UA,3037828
EE,US,118117
EG,AT,170267
EG,AU,121908
EG,BE,537863
EG,CA,115303
EG,CH,147002
EG,CN,719690
EG,DE,1169998
EG,DJ,202031
EG,DK,160218
EG,DZ,151835
EG,ES,254951
EG,FR,2647678
EG,GB,249803
EG,HU,108244
EG,ID,957877
EG,IL,4417924
EG,IN,807179
EG,IQ,1173417
EG,IT,853624
EG,JO,3666442
EG,JP,184735
EG,KM,315517
EG,LB,3819041
EG,MA,396566
EG,MY,287894
EG,NG,1993406
EG,NL,102549
EG,OM,116126
EG,PH,768972
EG,PK,271886
EG,QA,1959337
EG,RU,215060
EG,SA,1429906
EG,SE,244928
EG,SN,164492
EG,SY,4529376
EG,TH,688498
EG,TN,297062
EG,US,851075
EG,YE,1280843
ER,FR,552826
ER,UG,341323
ES,AL,213638
ES,AM,2152078
ES,AR,18925831
ES,AT,5358732
ES,AU,2161895
ES,BA,239202
ES,BD,2162741
ES,BE,87910748
ES,BF,503939
ES,BG,25507252
ES,BO,29910617
ES,BR,18518429
ES,BY,283574
ES,CA,574846
ES,CH,23871865
ES,CI,177518
ES,CL,1036672
ES,CM,490961
ES,CN,107455249
ES,CO,84062060
ES,CR,1349067
ES,CV,558041
ES,CZ,6217105
ES,DE,95135614
ES,DK,6134648
ES,DO,66845556
ES,DZ,6733026
ES,EC,108214904
ES,EE,476279
ES,EG,2244627
ES,ET,341402
ES,FI,3376834
ES,FR,283451269
ES,GB,32177569
ES,GE,2700373
ES,GH,5283835
ES,GM,6028229
ES,GN,398401
ES,GR,129753
ES,GT,5326520
ES,GW,1023810
ES,HN,20687883
ES,HR,412100
ES,HU,7352784
ES,ID,408299
ES,IE,1321578
ES,IL,685490
ES,IN,18276440
ES,IR,431465
ES,IS,603029
ES,IT,29457806
ES,JO,1100980
ES,JP,2501511
ES,KE,617495
ES,KR,871679
ES,LB,2845311
ES,LR,257328
ES,LT,4336561
ES,LU,3821352
ES,LV,1198838
ES,MA,184828698
ES,MD,3450213
ES,ML,7134712
ES,MX,10044694
ES,NG,77106036
ES,NI,4027170
ES,NL,7198329
ES,NO,5583356
ES,NP,943011
ES,PA,1521840
ES,PE,40735165
ES,PH,19295330
ES,PK,24961310
ES,PL,12595166
ES,PT,31156677
ES,PY,7038578
ES,RO,114308764
ES,RS,1052007
ES,RU,4858899
ES,SE,17657890
ES,SI,285881
ES,SK,2691490
ES,SN,30220556
ES,SV,2692829
ES,SY,207326
ES,TH,1155226
ES,TN,719440
ES,TR,118302
ES,UA,12105376
ES,US,7728043
ES,UY,2331038
ES,VE,7214315
ES,VN,730309
ES,ZA,273166
ET,DJ,1034589
ET,SD,222509
FI,AT,342738
FI,AU,452802
FI,BD,346725
FI,BE,1087293
FI,BG,243120
FI,BR,189807
FI,CA,169072
FI,CH,413445
FI,CN,5747243
FI,CO,239776
FI,CZ,497095
FI,DE,2818099
FI,DK,517434
FI,EE,10100151
FI,EG,559679
FI,ES,1785040
FI,ET,210717
FI,FR,3013652
FI,GB,469631
FI,GH,419167
FI,GM,197112
FI,HU,1676020
FI,IL,222584
FI,IN,2590333
FI,IQ,422743
FI,IR,422898
FI,IT,690263
FI,JO,151827
FI,JP,616028
FI,KE,520428
FI,KR,122106
FI,LB,559251
FI,LK,345451
FI,LT,184424
FI,LU,240819
FI,LV,461102
FI,MA,497052
FI,MX,152035
FI,NG,4155470
FI,NL,210163
FI,NO,541352
FI,NP,524982
FI,PE,105288
FI,PH,1269287
FI,PK,634617
FI,PL,597085
FI,PT,104560
FI,RO,317614
FI,RU,5313708
FI,SE,28721008
FI,TH,5676946
FI,TN,188131
FI,TR,207266
FI,TZ,128596
FI,UA,198169
FI,US,1023548
FI,VN,2865180
FJ,AU,848609
FJ,BD,297174
FJ,GB,104518
FJ,IN,931274
FJ,PK,553806
FM,CN,195555
FM,PH,222780
FM,US,109964
FR,AL,725748
FR,AM,3772080
FR,AR,924153
FR,AT,7042118
FR,AU,2605198
FR,AZ,336841
FR,BA,1783954
FR,BD,895466
FR,BE,294883960
FR,BF,4004669
FR,BG,2651199
FR,BJ,2283843
FR,BM,1041032
FR,BO,502385
FR,BR,8558448
FR,BY,252201
FR,CA,2494705
FR,CD,187968
FR,CH,36334939
FR,CI,5216677
FR,CL,246908
FR,CM,6862082
FR,CN,58631152
FR,CO,6122019
FR,CR,321742
FR,CV,2937217
FR,CY,236224
FR,CZ,6418482
FR,DE,96229632
FR,DJ,3334160
FR,DK,3392295
FR,DM,673813
FR,DO,2165333
FR,DZ,171343225
FR,EC,1014865
FR,EE,265151
FR,EG,17207502
FR,ES,273813501
FR,ET,916195
FR,FI,958882
FR,GE,1923700
FR,GH,2449966
FR,GM,619099
FR,GN,1043762
FR,GR,407896
FR,GT,2313740
FR,GW,534372
FR,GY,281911
FR,HN,334595
FR,HR,2690136
FR,HT,14890557
FR,HU,8738047
FR,ID,1092661
FR,IE,762168
FR,IL,2456595
FR,IN,25070837
FR,IQ,271224
FR,IR,1899966
FR,IS,183128
FR,IT,119488952
FR,JM,208663
FR,JO,710792
FR,JP,9158674
FR,KE,774933
FR,KG,251079
FR,KH,2636964
FR,KM,11362697
FR,KR,4963483
FR,LA,488402
FR,LB,45867512
FR,LC,306862
FR,LK,15529356
FR,LR,262986
FR,LT,562244
FR,LU,34400106
FR,LV,837149
FR,MA,229201806
FR,MD,1274261
FR,ME,163191
FR,MG,22905007
FR,MK,220543
FR,ML,24496571
FR,MN,488474
FR,MU,7038848
FR,MX,2617946
FR,MY,234903
FR,NE,1213930
FR,NG,12076098
FR,NI,153465
FR,NL,6030751
FR,NO,1187909
FR,NP,431912
FR,PA,197406
FR,PE,2444268
FR,PH,7411389
FR,PK,6992021
FR,PL,19007588
FR,PT,152044946
FR,QA,440262
FR,RO,8375362
FR,RS,20867887
FR,RU,3715992
FR,RW,700671
FR,SA,224805
FR,SC,152129
FR,SE,8123981
FR,SI,644279
FR,SK,1504384
FR,SN,64689355
FR,SV,365961
FR,SY,762172
FR,TG,4604755
FR,TH,11653093
FR,TJ,101455
FR,TN,111877014
FR,TR,8727212
FR,TZ,151934
FR,UA,2361309
FR,UG,310260
FR,US,11316107
FR,VE,283590
FR,VN,65535412
FR,VU,184152
FR,YE,109167
FR,ZA,560837
GA,BE,919572
GA,BF,2067150
GA,BJ,3885309
GA,CI,144668
GA,CM,3216979
GA,CN,190671
GA,FR,19589489
GA,GH,1716007
GA,GN,110873
GA,LB,2052588
GA,MA,141700
GA,ML,12834638
GA,NG,41418243
GA,SN,11621806
GA,ST,307147
GA,TG,2802166
GA,US,109755
GB,AF,658684
GB,AL,1893760
GB,AR,1144552
GB,AT,8632381
GB,AU,44582067
GB,BA,769453
GB,BB,2186695
GB,BD,46893548
GB,BE,63169042
GB,BG,9475058
GB,BR,8160323
GB,BY,479708
GB,CA,9240016
GB,CH,6563825
GB,CM,1073385
GB,CN,97661804
GB,CO,6186977
GB,CY,15072056
GB,CZ,28433847
GB,DE,125804528
GB,DK,11050528
GB,DM,411733
GB,DZ,2456228
GB,EC,1267575
GB,EE,2769408
GB,EG,17117216
GB,ES,73786883
GB,ET,2150724
GB,FI,3768272
GB,FJ,252766
GB,FR,178208313
GB,GH,29844360
GB,GM,3614843
GB,GR,1239922
GB,GY,1223326
GB,HK,4834472
GB,HR,2393187
GB,HU,41828710
GB,ID,2470242
GB,IE,32008453
GB,IL,5893848
GB,IN,394078972
GB,IQ,3421049
GB,IR,6236078
GB,IT,42754046
GB,JM,31814126
GB,JO,3925525
GB,JP,19108497
GB,KE,66308764
GB,KR,5086130
GB,LB,17218501
GB,LC,488320
GB,LK,52506604
GB,LT,29668881
GB,LV,22839242
GB,MA,5693446
GB,MM,271901
GB,MT,5661702
GB,MU,7564717
GB,MW,492149
GB,MX,2447647
GB,MY,5223411
GB,NG,411895166
GB,NL,8498560
GB,NO,5127670
GB,NP,14334516
GB,NZ,2144801
GB,OM,884646
GB,PH,65812316
GB,PK,168889777
GB,PL,114929406
GB,PT,21302178
GB,RO,15003913
GB,RU,3572120
GB,SA,3476951
GB,SE,25747677
GB,SK,22342765
GB,SL,448096
GB,SY,447349
GB,TH,27367648
GB,TN,2556794
GB,TR,2751735
GB,TT,859785
GB,TZ,7702095
GB,UA,3486243
GB,UG,37196221
GB,US,46452926
GB,VC,434266
GB,VE,366804
GB,VN,14660891
GB,YE,3787151
GB,ZA,24066004
GB,ZM,830539
GD,TT,125457
GE,AM,378637
GE,AZ,344187
GE,BY,661471
GE,CN,145529
GE,DE,688662
GE,EE,152501
GE,KG,522898
GE,KZ,110154
GE,LT,529604
GE,LV,259326
GE,MD,400609
GE,PL,496880
GE,RU,7537495
GE,TJ,628577
GE,UA,3046363
GH,BF,19262240
GH,BJ,1075482
GH,CI,1586499
GH,CN,150077
GH,FR,325041
GH,GB,177580
GH,GM,205426
GH,IN,368161
GH,LB,957065
GH,LR,2313348
GH,ML,1331011
GH,NE,750654
GH,NG,87408801
GH,TG,11626920
GH,US,199023
GL,DK,2623448
GM,GN,401594
GM,GW,701933
GM,ML,1161869
GM,SN,26409375
GN,BE,252545
GN,CI,224174
GN,DE,217833
GN,FR,1335996
GN,GH,187094
GN,GW,117373
GN,LB,454228
GN,LR,9563393
GN,ML,1458133
GN,NG,885485
GN,SL,2123609
GN,SN,1127043
GQ,ES,1021510
GQ,FR,5469393
GQ,NG,612901
GR,AL,60844183
GR,AM,1533368
GR,AT,327309
GR,AU,409263
GR,BA,101747
GR,BD,2864844
GR,BE,865593
GR,BG,8638249
GR,CA,125624
GR,CN,2687855
GR,CY,2508225
GR,CZ,872169
GR,DE,4492874
GR,DK,153668
GR,DO,289116
GR,EG,5801477
GR,ET,212560
GR,FR,1892661
GR,GB,708393
GR,GE,9412452
GR,GH,334597
GR,HR,115941
GR,HU,727324
GR,IL,107198
GR,IN,4334305
GR,IQ,338781
GR,IR,259513
GR,IT,1043939
GR,JO,143370
GR,JP,519400
GR,KE,219767
GR,LB,2505752
GR,LK,655015
GR,LU,1897444
GR,MA,244455
GR,MD,1220824
GR,MK,160837
GR,MX,146378
GR,NG,7870919
GR,NL,525410
GR,PF,554002
GR,PH,2798923
GR,PK,7778346
GR,PL,1946859
GR,RO,5342138
GR,RS,2187946
GR,RU,1201799
GR,SE,2166183
GR,SI,110391
GR,SK,101582
GR,SY,302379
GR,SZ,196378
GR,TH,244035
GR,TN,357980
GR,TR,205407
GR,UA,2009030
GR,US,288291
GR,ZA,308097
GT,CN,355865
GT,CO,221459
GT,CR,416606
GT,DE,246124
GT,ES,1072670
GT,FR,314803
GT,HN,3343650
GT,IT,108795
GT,KR,400787
GT,MX,3339350
GT,NI,1365235
GT,SV,4375251
GT,US,1721802
GU,CN,1838944
GU,FM,550755
GU,JP,1188284
GU,KR,830774
GU,PH,17566207
GU,US,4332938
GU,VN,184210
GW,FR,133087
GW,GM,178126
GW,PT,176249
GW,SN,1945782
GY,BR,290331
GY,CN,662842
GY,US,266130
HK,AU,3657641
HK,CA,1472905
HK,CH,274864
HK,CN,1554756250
HK,DE,805171
HK,ES,355683
HK,FR,2875407
HK,GB,1519192
HK,ID,30660153
HK,IN,10238531
HK,IT,205893
HK,JP,6477718
HK,KR,1186144
HK,LK,323047
HK,MO,1485278
HK,MY,1454847
HK,NL,144516
HK,NP,3527879
HK,PH,65330181
HK,PK,2952127
HK,TH,13251100
HK,US,2753664
HK,VN,6127214
HN,CN,243307
HN,CO,125198
HN,CR,232576
HN,ES,321460
HN,FR,133087
HN,GT,1916155
HN,MX,224740
HN,NI,877670
HN,SV,1519320
HN,US,1022085
HR,AT,1112522
HR,AU,438157
HR,BA,56358068
HR,BE,589914
HR,CH,283669
HR,DE,3319238
HR,FR,1696868
HR,HU,2054333
HR,IT,1021002
HR,ME,5791912
HR,MK,962276
HR,PL,172677
HR,RS,30274798
HR,SE,355463
HR,SI,11031810
HR,US,395747
HT,AT,186798
HT,CA,123167
HT,CH,287880
HT,CN,394522
HT,CO,331787
HT,CR,205480
HT,DE,722206
HT,DO,1841046
HT,ES,2204176
HT,FR,1135084
HT,IT,758467
HT,JP,197229
HT,MX,121859
HT,PE,126733
HT,US,670031
HT,VE,203896
HU,AT,4845727
HU,AU,404514
HU,BE,3389116
HU,BG,349346
HU,CA,222546
HU,CH,921446
HU,CN,7272486
HU,CZ,1168963
HU,DE,13698881
HU,DK,199013
HU,EG,440015
HU,ES,1111894
HU,FI,195590
HU,FR,5323509
HU,GB,488954
HU,HR,635167
HU,IL,480027
HU,IN,559686
HU,IR,171104
HU,IT,1287256
HU,JO,210919
HU,JP,652820
HU,KR,311304
HU,LB,339005
HU,LU,394308
HU,MN,485122
HU,NG,2517494
HU,NL,412731
HU,NO,379337
HU,PH,128674
HU,PL,723921
HU,QA,124348
HU,RO,32049050
HU,RS,6971500
HU,RU,358750
HU,SE,1320862
HU,SI,103463
HU,SK,8272902
HU,TH,482279
HU,UA,4446211
HU,US,1656576
HU,VN,1698238
ID,AU,3750662
ID,CA,184308
ID,CN,35911740
ID,GB,2294287
ID,IN,4238017
ID,JO,4572619
ID,JP,7372454
ID,KR,6571546
ID,MY,174660
ID,NL,854442
ID,PH,1491210
ID,PK,1931392
ID,SA,193767
ID,TH,11551864
ID,TL,4403668
ID,US,2205981
IE,AT,444685
IE,AU,2286582
IE,BA,148324
IE,BD,588952
IE,BE,3256431
IE,BG,337241
IE,BM,1431419
IE,BR,1477720
IE,BY,102449
IE,CA,464975
IE,CH,401577
IE,CN,7625963
IE,CZ,4346979
IE,DE,5214810
IE,DK,503271
IE,DZ,156416
IE,EE,840560
IE,EG,794755
IE,ES,6994264
IE,FI,259816
IE,FR,13063731
IE,GB,24329942
IE,GE,189183
IE,GH,523611
IE,GT,215679
IE,HR,252790
IE,HU,6941217
IE,IL,120975
IE,IN,10002932
IE,IT,2569576
IE,JO,168656
IE,JP,454561
IE,KE,509285
IE,KR,132633
IE,LB,274016
IE,LK,239317
IE,LR,110334
IE,LT,7950260
IE,LU,410186
IE,LV,6609934
IE,MA,179413
IE,MD,767167
IE,MN,236765
IE,MU,441126
IE,MX,193661
IE,MY,340130
IE,NC,111695
IE,NG,47326049
IE,NL,720387
IE,NO,156003
IE,NP,189149
IE,PH,7516438
IE,PK,3179692
IE,PL,20499357
IE,PT,607802
IE,QA,252058
IE,RO,2673925
IE,RS,210587
IE,RU,454840
IE,SA,182842
IE,SE,1518386
IE,SK,3906821
IE,TH,1248023
IE,UA,652657
IE,UG,293167
IE,US,5623663
IE,VN,922442
IE,ZA,914050
IL,AR,2814226
IL,AT,2838888
IL,AU,1315660
IL,AZ,1200521
IL,BE,11755876
IL,BG,2708762
IL,BR,1369867
IL,BY,1836651
IL,CA,813416
IL,CH,1500652
IL,CN,387680
IL,CO,641958
IL,DE,9726950
IL,DK,982470
IL,DZ,5374044
IL,EG,20538131
IL,ES,1648941
IL,ET,8552499
IL,FR,54486627
IL,GB,1866399
IL,GE,2491408
IL,HU,10262335
IL,IN,9763667
IL,IQ,3152687
IL,IR,4312577
IL,IT,1647737
IL,JO,23582766
IL,KG,1000624
IL,KZ,133470
IL,LB,2785713
IL,LT,867390
IL,LV,1277671
IL,MA,39885223
IL,MD,2336448
IL,MX,578280
IL,NL,731494
IL,OM,1561298
IL,PE,521195
IL,PL,10357314
IL,QA,34115322
IL,RO,15110798
IL,RU,8910717
IL,SA,2140747
IL,SE,556654
IL,SY,568906
IL,TJ,839153
IL,TN,6785495
IL,TR,932218
IL,UA,20748403
IL,US,18464222
IL,UY,195242
IL,YE,6977536
IL,ZA,1316652
IM,AU,131461
IM,GB,3444313
IM,IE,150142
IN,AU,267961
IN,BD,403260351
IN,BT,294659
IN,CA,164452
IN,CN,4115763
IN,DE,883864
IN,FR,1488279
IN,GB,415724
IN,ID,148666
IN,IR,126799
IN,JP,325740
IN,KE,668989
IN,LK,51952868
IN,MM,849280
IN,MY,1118394
IN,NG,1034783
IN,NP,102095111
IN,SA,446478
IN,UG,215340
IN,US,579509
IN,VN,208522
IQ,EG,5726715
IQ,IL,767431
IQ,IR,1153672
IQ,JO,3841110
IQ,LB,1057729
IQ,PK,158159
IQ,SY,5732143
IQ,TR,304522
IQ,YE,264645
IR,AF,16645332
IR,AM,450888
IR,AZ,940479
IR,IQ,3409786
IR,PK,8076836
IS,BE,211473
IS,CN,333149
IS,CZ,125479
IS,DE,611128
IS,DK,1569067
IS,ES,309316
IS,FR,655067
IS,GB,103120
IS,HU,153902
IS,IN,175669
IS,LT,318997
IS,LU,357259
IS,LV,231606
IS,NG,166637
IS,NO,300584
IS,PH,814219
IS,PL,1671110
IS,RS,107585
IS,SE,1521572
IS,TH,751572
IS,US,418116
IS,VN,326184
IT,AL,50152078
IT,AM,211652
IT,AR,5957817
IT,AT,6791952
IT,AU,8437804
IT,BA,1208127
IT,BD,15518948
IT,BE,95248052
IT,BF,4674624
IT,BG,9274064
IT,BJ,253831
IT,BO,2426191
IT,BR,17223172
IT,BY,2069445
IT,CA,2682848
IT,CH,79248632
IT,CI,1296916
IT,CL,226030
IT,CM,846234
IT,CN,117671691
IT,CO,8905688
IT,CR,615181
IT,CV,824672
IT,CY,159499
IT,CZ,6275609
IT,DE,93199761
IT,DK,1923627
IT,DO,17247636
IT,DZ,2853235
IT,EC,22121954
IT,EE,403280
IT,EG,57307409
IT,ES,26477420
IT,ET,3329542
IT,FI,810192
IT,FR,187521899
